"Pole_longitude","Pole_latitude"
7.61,-72.95
62.22,-82.26
340.86,-80.34
359.85,-77.14
19.78,-54.42
197.36,73.7
248.6,74.84
234.54,59.69
257.02,72.7
245.37,63.66
253.81,76.89
84.55,-59.73
22.61,-65.13
250.44,60.99
232.68,74.83
27.22,-57.94
249.83,78.01
261.23,70.48
257.46,61.22
214.14,64.01
212.7,63.2
201.2,57.02
213.6,61.65
189.92,57.57
241.96,60.64
204.35,62.1
22.59,-79.1
14.16,-76.49
84.73,-72.65
12.32,-63.84
343.12,-70.53
42.28,-71.16
43.25,-62.06
74.3,-74.98
337.6,-71.38
115.02,-72.55
34.51,-60.46
9.89,-70.58
21.56,-73.25
171.16,73.5
189.07,71.22
189.7,69.15
129.7,74.1
246.81,75.67
38.83,-69.19
223.21,54.85
59.08,-67.04
119.91,-68.8
63.3,-79.46
281.51,-87.47
18.78,-66.86
64.89,-72.7
81.11,-68.66
17.3,-78.31
58.46,-68.93
18.39,-73.76
68.67,-63.51
356.63,-65.78
327.43,-58.85
1.42,-48.46
37.2,-64.33
68.32,-64.42
2.89,-76.34
22.2,-67.83
36.57,-51.9
38.29,-58.99
313,-79.96
298.39,-69.68
315.34,-62.65
355.4,-75.12
33.29,-80.04
323.87,-69.08
336.72,-57.83
9.49,-55.89
358.85,-51.8
19.4,-67.98
86.54,-58.79
359.03,-65.27
311.01,-72.53
224.82,-76.49
74.69,-61.84
8.42,-79.58
321.11,-61.48
97.5,-84.43
330.73,-72.72
6.16,-55.38
154.69,-77.85
18.46,-82.46
269.47,-84.36
92.87,-76.08
193.98,57.48
211.41,61.21
145.38,52.89
214.22,80.6
129.45,58.82
318.7,-68.11
109.88,-79.23
48.62,-71.42
333.69,-62.09
325.13,-58.32
350.7,-63.53
355.04,-65.96
47.11,-64.67
62.19,-60.68
161.53,-72.55
316.85,-74.74
39,-68.3
42.16,-69.8
27.56,-74.69
14.29,-70.51
15.11,-69.59
62.2,-62.04
342.33,-63.74
339.25,-55.13
4.29,-67.18
25.97,-63.37
321.6,-78.12
6.87,-72.49
26.97,-72.65
15.22,-49.53
23.7,-81.22
23.7,-69.91
295.07,-84.23
7.14,-85.84
38.63,-62.19
127.62,-74.85
12.03,-57.53
303.03,-64.49
257.53,-81.62
158.88,60.81
231.34,59.03
171.16,64.36
238.51,73.41
211.05,85.6
-64.98,73.89
209.32,68.92
174.31,68.43
-43.95,78.59
62.33,-85.49
33.32,-64.2
58.89,-69.05
59.87,-66.19
91.78,-69.84
83.59,-61.71
8.46,-57.66
71.05,-60.77
163.84,-78
99.44,-75.71
35.01,-75.47
47.78,-73.12
33.43,-69.73
216.73,-85.17
60.93,-64.41
4.14,-70.57
107.37,-66.76
49.54,-77.53
11.65,-75.69
3.34,-66.46
133.97,68.77
194.26,69.61
3.66,-59.72
42.71,-75.06
215.94,67.47
199.68,78.14
183.58,75.14
229.16,67.54
234.44,68.96
222.96,64.37
215.12,63.79
232.01,65.35
280.05,74.79
24.06,-76.71
14.49,-67.2
168.02,81.02
220.47,71.41
177.88,74.08
235.31,59.39
200.48,69.55
224.45,62.4
170.1,70.36
-70.41,72.9
262.72,77.35
184.22,68.87
247.22,72.36
243.62,61.4
180.91,84.03
248.51,71.26
180.56,77.72
202.57,72.92
206.44,60.7
222.68,67.77
174.91,57.78
162.75,64.71
191.83,57.12
277.42,58.12
348.38,-63.86
7.27,-78.44
1.4,-64.39
13.54,-62.43
11.6,-75.51
51.1,-60.92
69.27,-71.93
8.46,-81.41
65.36,-62.58
51.49,-72.62
34.82,-76.28
33.35,-63.66
2.82,-78.61
2.56,-78.32
97.04,-79.51
327.57,-73.31
0.31,-72.22
356.75,-70.18
342.46,-75.5
27.17,-77.61
177.74,66.01
224.17,60.49
6.67,-73.41
16.43,73.59
25.19,-77.24
359.68,-72.93
17.78,-70.94
215.28,58.75
12.71,-67.33
41.24,-75.34
63.96,-59.29
39.35,-83.72
