"Plong_R","Plat_R"
296.11,-84.41
182.59,-79.17
243.48,-78.25
258.08,-82.49
14.39,-70.42
113.99,87.3
322.27,78.94
258.05,72.54
317.06,75.96
280.11,73.28
333.63,78.11
114.52,-64.81
14.8,-81.22
281.29,69.74
317.81,83.04
27.41,-74.16
338.98,79.06
312.61,73.66
289.41,68.01
225.1,79.92
220.83,79.23
196.08,73.09
221.75,77.63
175.43,72.48
270.13,71.65
200.88,78.28
215.91,-84.58
251.5,-85.75
141.3,-73.95
351.84,-78.8
288.97,-76.5
94.81,-84.73
62.29,-76.89
144.95,-77.55
281.94,-75.46
157.56,-66.77
42.87,-76.39
320.03,-83.89
313.22,-88.36
101.29,80.05
133.64,84.06
148.63,82.85
78.75,70.09
326.1,79.56
71.97,-84.09
234.97,69.98
100.8,-77.55
154.6,-62.88
167.86,-80.12
215.33,-72.93
1.25,-82.56
129.78,-79.21
127.64,-72.55
229.71,-84.91
106.78,-79.01
293.35,-87.59
103.73,-72.27
319.3,-77.04
298.6,-63.5
348.9,-62.35
52.95,-79.91
105.22,-73.07
263.26,-83.33
9.83,-83.85
42.71,-67.76
49.31,-74.6
243.21,-73.52
260.83,-64.52
282.93,-63.28
273.02,-81.52
197.28,-83.59
278.6,-70.38
309.43,-65.2
356.11,-70.8
343.17,-65.08
0.07,-83.7
115.29,-63.46
324.23,-77.25
262.97,-69.42
215.39,-60.63
107.43,-69.28
234.63,-82.85
289.41,-63.91
186.68,-74.73
273.34,-74.34
351.15,-69.8
184.23,-64.52
214.32,-81.16
222.17,-70.54
155.84,-73.64
182.62,72.93
216.7,77.33
122.65,57.76
17.34,83
102.39,58.49
276.89,-68.35
170.69,-71.76
107.46,-83.17
300.32,-67.91
297,-62.4
316.78,-73.71
316.59,-76.77
74.81,-78.55
90.49,-71.62
182.47,-59.01
260.44,-72.04
68.22,-83.3
84.31,-83.84
198.09,-89.08
330.81,-84.93
339.52,-84.4
92.84,-72.77
306.42,-71.62
315.29,-63.53
326.87,-80.05
24.43,-79.58
251.42,-74.48
299.64,-84.05
26.26,-88.87
8.55,-65.22
210.9,-82.53
10.48,-85.99
226.67,-72.63
213.61,-77.61
53.11,-77.68
167.89,-65.98
359.13,-72.74
271.03,-61.55
224.12,-67.53
127.72,68.3
252.19,72.61
135.53,74.5
309.86,81.2
25.51,78.16
340.08,67.7
216.74,85.09
127.65,78.34
357.89,67.4
195.18,-77.2
43.29,-80.18
107.77,-78.97
99.29,-76.71
138.26,-70.46
116.33,-66.7
352.86,-72.35
101.65,-69.39
188.25,-63.75
157.25,-72.05
159.38,-87.29
120.67,-84.08
56.49,-85.49
209.29,-69
96.08,-75.05
310.45,-82.36
143.43,-64.26
161.47,-83.34
264.44,-85.54
327.69,-79.25
92.36,67.6
156.98,84.24
342.49,-73.44
141.42,-85.61
236.43,83.05
45.68,85.29
93.68,83.62
267.45,80.47
281.69,80.12
245.87,79.08
227.22,79.62
265.25,78.04
335.02,71.43
219.99,-86.97
348.53,-82.24
58.64,79.21
273.04,85.34
100.89,82.01
258.78,72.11
177.95,85.3
245.14,77.01
115.59,78.35
335.35,68.18
337.45,76.25
139.78,81.29
309.69,78.43
273.57,71.87
40.7,78.84
305.96,77.56
73.47,82.49
148.83,88.46
205.77,76.92
255.23,82.13
151.88,69.8
124.89,72.48
179.1,72.31
304.7,59.87
313.17,-73.35
243.17,-83.41
330.22,-77.1
356.72,-77.66
266.79,-85.58
74.48,-74.38
129.24,-77.68
225.73,-81.48
97.92,-72.4
119.57,-82.89
171.9,-86.79
42.81,-79.64
245.78,-82.57
247.97,-82.65
168.5,-74.05
269.78,-73.85
295.34,-82.11
303.16,-80.1
267.57,-78.36
206.53,-86.16
140.24,77.51
241.84,75.27
290.91,-84.27
21.47,57.52
213.65,-86.51
289.95,-82.2
337.99,-86.02
223.36,74.64
343.65,-82.03
146.14,-85.92
90.71,-69.98
199.41,-79.83
