"dec","inc"
181.52,-47.99
172.16,-59.91
186.31,-57
183.26,-52.85
175.48,-20.65
358.31,48.87
344.28,55.93
338.58,37.9
340.34,56.28
336.4,46.08
345.15,58.1
145.88,-50.31
175.29,-38.19
332.44,45.43
348.18,53.27
171.79,-27.73
346.98,58.15
337.13,56.01
329.85,48.45
349.84,38.1
350.27,36.72
354.95,25.37
349.41,34.66
1.23,25.86
335.78,41.77
354,33.92
177.59,-54.76
179.44,-51.91
158.62,-58.03
179.92,-35.88
190.6,-47.29
169.3,-48.15
164.98,-37.43
163.17,-57.08
192.06,-49.08
154.54,-65.11
168.62,-33.08
180.84,-45.09
176.89,-48.49
6.77,49.57
1.11,45.89
0.96,43.27
17.75,56.6
345.41,56.18
169.69,-45.42
342.15,26.94
161.07,-47.42
148.75,-66.06
169.45,-58.22
183.64,-64.23
177.17,-40.34
163.37,-53.68
155.36,-54.91
178.74,-53.85
162.54,-49.05
177.99,-48.96
155.01,-47.07
186.82,-39.59
202.97,-37.74
187.11,-9.85
168.58,-39.1
155.82,-47.77
182.58,-51.9
175.86,-41.84
164.98,-19.73
166.25,-31.78
191.31,-59.47
204.82,-56.83
205.73,-46.39
184.99,-50.97
175.54,-56.11
198.01,-49.66
198.93,-32.93
181.52,-22.96
188.27,-16.66
177.03,-41.89
144.28,-50.52
185.86,-38.63
198.93,-55.34
193.31,-71.86
151.41,-47.85
180.83,-55.11
204.2,-43.11
172.09,-63.69
193.43,-51.53
183.46,-22.23
167.09,-70.74
178.94,-57.89
188.08,-65
161.31,-61.13
358.98,25.7
350.36,33.61
27.31,30.95
355.58,56.66
31.03,45.3
200.43,-50.14
164.42,-64.57
167.33,-49.44
198.35,-39.54
204.36,-38.01
190.04,-37.33
187.46,-40.02
164.42,-41.72
155.7,-41.9
162.22,-73.89
195.55,-55.65
169.28,-44.41
168.72,-46.64
175.29,-50.43
179.2,-44.99
178.85,-43.84
156.58,-43.35
193.75,-39.33
198.74,-28.04
183.31,-40.85
173.45,-35.99
191.61,-57.24
181.8,-47.47
174.99,-48.11
178,-11.11
177.79,-56.83
175.6,-44.61
187.89,-63.01
180.49,-60.87
167.18,-36.49
158.17,-67.68
180.06,-25.77
208.63,-52.29
191.64,-66.48
16.56,36.35
339.77,35.91
9.59,38.41
345.64,53.02
358.09,60.84
336.51,65.21
353.23,43.87
7.15,43.32
344.72,68.29
175.26,-61.84
170.27,-38.23
162.47,-49.27
160.22,-46.81
154.04,-58.54
148.03,-51.28
182.03,-26.07
152.03,-45.48
169.79,-71.5
160.1,-62.29
173.37,-51.8
168.53,-50.97
171.9,-45.32
183.15,-67.52
158.64,-45.36
182.97,-45.23
147.3,-62.09
170.7,-55.18
180.14,-51.04
183.8,-39.92
21.41,51.95
359.18,43.85
184.44,-29.82
171.03,-52.18
350.18,42.92
358.13,53.73
2.56,50.58
345.04,45.5
343.93,48.15
346.06,40.36
349.33,37.98
342.75,43.77
338.83,62.19
176.76,-52.39
179.01,-40.68
4.63,57.14
350.02,48.15
4.5,49.69
338.06,37.81
356.78,43.97
344.57,38.2
8.18,46.15
335.38,63.91
344.2,59.81
3.14,43.08
342.47,53.9
335.56,43.2
1.52,59.36
341.19,53.38
2.95,53.42
356.51,48.16
352.72,32.03
347.64,44.43
9.4,27.85
13.18,40.47
0.18,25.06
319.71,55
191,-38.21
181.18,-53.98
184.94,-37.16
179.31,-33.75
180.16,-50.84
160.82,-38.25
161.56,-54.04
180.69,-56.88
155.64,-45.02
167.13,-51.09
173.73,-52.61
170.1,-37.48
182.23,-54.24
182.34,-53.96
165.36,-62.75
193.94,-52.61
184.09,-47.42
185.79,-45.24
188.51,-52.5
176.15,-53.46
6.29,39.78
343.9,35.56
181.79,-48.54
2.61,75.34
176.57,-52.98
184.16,-48.29
177.93,-45.6
347.73,30.66
179.76,-40.84
171.57,-52.28
154.03,-41.1
176.24,-59.56
