"Pole_longitude","Pole_latitude"
8.87,-62.7
33.5,-70.77
356.18,-68.59
4.61,-65.81
19.05,-50.38
195.54,63.25
227.6,64.89
227.91,52.71
235.12,63.41
234.38,55.51
227.87,66.89
273.89,32.8
70.78,-52.02
20.49,-57.27
239.61,53.25
218.01,64.39
25.38,-52.46
224.1,67.64
240.15,61.63
244.7,53.35
210.03,56.36
209.06,55.83
200.14,51.99
210.16,54.76
190.01,52.41
233.33,53.18
202.34,55.23
17.74,-67.3
13.25,-65.29
59.85,-63.8
12.15,-56.46
350.92,-60.96
33.56,-61.43
37.96,-54.79
50.75,-65.27
347.5,-61.62
77.93,-66.85
31.19,-53.93
10.35,-61.03
18.46,-62.93
177.78,63.14
189.78,61.47
190.15,60.03
151.99,64.52
225.58,65.52
31.97,-59.97
219.98,49.8
47.82,-58.26
87.2,-63.77
38.67,-68.53
359.15,-76.05
17.24,-58.46
47.54,-62.96
61.84,-59.99
14.95,-66.67
46.2,-59.76
16.22,-63.29
56.9,-55.35
359.58,-57.66
333.92,-52
80.83,-39.93
1.64,-46.59
32.4,-56.53
56.11,-56.1
6.26,-65.2
19.8,-59.1
34.74,-48.18
34.74,-52.82
342.41,-69.34
320.02,-61.14
326.4,-54.64
1.18,-64.32
22.97,-68.16
336.54,-59.9
341.14,-51.65
9.58,-51.35
359.5,-48.6
17.61,-59.22
334.87,-45.15
72.8,-51.16
1.4,-57.34
331.03,-63.1
294.81,-80.06
62.31,-53.9
10.01,-67.65
330.13,-53.8
37.9,-74.45
343.77,-62.73
6.53,-51
79.23,-79.49
14.77,-69.94
343.34,-75.81
59.23,-67.55
193.65,52.36
208.42,54.52
150.13,47.45
203.05,68.61
139.95,51.35
148.02,35.78
332.27,-59.15
59.44,-72.13
37.8,-61.65
340.18,-54.61
331.88,-51.5
354.3,-56.04
358.36,-57.77
40.07,-56.58
53.49,-53.2
111.23,-77.73
336.98,-64.76
32.45,-59.33
34.13,-60.41
22.11,-64
13.58,-60.98
14.23,-60.33
52.85,-54.27
347.64,-56.02
342.51,-49.89
5.84,-58.67
23.5,-56.05
343.77,-67.4
8.31,-62.38
22.32,-62.5
14.96,-47.4
17.58,-68.98
20.59,-60.54
347.11,-73.76
10.56,-72.73
34.17,-55.01
79.92,-71.22
11.9,-52.39
318.68,-56.24
329.09,-75.97
280.36,-8.61
163.88,53.84
225.56,52.35
174.88,56.62
222.86,63.38
197.63,72.64
129.16,43.5
255.31,68.16
205,59.83
178.38,59.48
250.59,75.81
26.46,-73.3
29.32,-56.51
46.43,-59.86
48.9,-57.58
67.57,-61.66
68.88,-53.78
8.71,-52.46
279.44,-65.07
60.19,-53.06
79.47,-81.85
63.34,-67.86
26.56,-64.63
36.16,-62.97
27.82,-60.39
140.65,-79.43
357.01,-80.15
50.67,-56.16
6.13,-61.01
81.25,-59.97
33.76,-66.48
11.69,-64.7
5.01,-58.18
70.81,24.6
149.5,59.77
193.59,60.35
4.6,-53.73
31.63,-64.41
210.44,58.76
196.34,66.55
186.46,64.3
220.32,58.69
223.36,59.77
216.95,56.44
210.88,56.19
223.51,57.01
245.38,67.08
275.56,43.78
280.58,39.54
19.28,-65.49
13.84,-58.7
180.27,68.98
113.92,50.39
212.18,61.61
182.47,63.54
228.63,52.46
198.25,60.3
218.81,55.01
175.85,60.84
254.11,66.43
231.75,67.85
185.98,59.83
229.34,62.74
234.24,53.73
187.8,71.24
231.19,61.84
185.21,66.25
199.21,62.69
204.3,54.28
215.41,58.91
176.71,52.3
168.3,56.71
191.72,52.13
261.2,50.65
352.51,-56.22
9.23,-66.77
3.19,-56.77
13.19,-55.53
11.65,-64.56
44.68,-53.73
51.06,-62.44
10.24,-69.09
54.96,-54.63
38.94,-62.62
26.02,-65.25
29.48,-56.13
6.75,-66.92
6.53,-66.7
53.67,-70.92
342.19,-63.26
3.67,-62.18
0.64,-60.73
353.21,-64.74
20.84,-66.2
180.5,57.83
219.21,53.66
8.26,-63.03
38.2,86.15
19.81,-65.89
3.39,-62.7
16.11,-61.28
212.22,52.76
12.45,-58.79
30.54,-64.6
55.5,-52.06
22.43,-71.23
