"Plong_N","Plat_N"
188.87,62.7
213.5,70.77
176.18,68.59
184.61,65.81
199.05,50.38
195.54,63.25
227.6,64.89
227.91,52.71
235.12,63.41
234.38,55.51
227.87,66.89
273.89,32.8
250.78,52.02
200.49,57.27
239.61,53.25
218.01,64.39
205.38,52.46
224.1,67.64
240.15,61.63
244.7,53.35
210.03,56.36
209.06,55.83
200.14,51.99
210.16,54.76
190.01,52.41
233.33,53.18
202.34,55.23
197.74,67.3
193.25,65.29
239.85,63.8
192.15,56.46
170.92,60.96
213.56,61.43
217.96,54.79
230.75,65.27
167.5,61.62
257.93,66.85
211.19,53.93
190.35,61.03
198.46,62.93
177.78,63.14
189.78,61.47
190.15,60.03
151.99,64.52
225.58,65.52
211.97,59.97
219.98,49.8
227.82,58.26
267.2,63.77
218.67,68.53
179.15,76.05
197.24,58.46
227.54,62.96
241.84,59.99
194.95,66.67
226.2,59.76
196.22,63.29
236.9,55.35
179.58,57.66
153.92,52
260.83,39.93
181.64,46.59
212.4,56.53
236.11,56.1
186.26,65.2
199.8,59.1
214.74,48.18
214.74,52.82
162.41,69.34
140.02,61.14
146.4,54.64
181.18,64.32
202.97,68.16
156.54,59.9
161.14,51.65
189.58,51.35
179.5,48.6
197.61,59.22
154.87,45.15
252.8,51.16
181.4,57.34
151.03,63.1
114.81,80.06
242.31,53.9
190.01,67.65
150.13,53.8
217.9,74.45
163.77,62.73
186.53,51
259.23,79.49
194.77,69.94
163.34,75.81
239.23,67.55
193.65,52.36
208.42,54.52
150.13,47.45
203.05,68.61
139.95,51.35
148.02,35.78
152.27,59.15
239.44,72.13
217.8,61.65
160.18,54.61
151.88,51.5
174.3,56.04
178.36,57.77
220.07,56.58
233.49,53.2
-68.77,77.73
156.98,64.76
212.45,59.33
214.13,60.41
202.11,64
193.58,60.98
194.23,60.33
232.85,54.27
167.64,56.02
162.51,49.89
185.84,58.67
203.5,56.05
163.77,67.4
188.31,62.38
202.32,62.5
194.96,47.4
197.58,68.98
200.59,60.54
167.11,73.76
190.56,72.73
214.17,55.01
259.92,71.22
191.9,52.39
138.68,56.24
149.09,75.97
100.36,8.61
163.88,53.84
225.56,52.35
174.88,56.62
222.86,63.38
197.63,72.64
129.16,43.5
255.31,68.16
205,59.83
178.38,59.48
250.59,75.81
206.46,73.3
209.32,56.51
226.43,59.86
228.9,57.58
247.57,61.66
248.88,53.78
188.71,52.46
99.44,65.07
240.19,53.06
259.47,81.85
243.34,67.86
206.56,64.63
216.16,62.97
207.82,60.39
-39.35,79.43
177.01,80.15
230.67,56.16
186.13,61.01
261.25,59.97
213.76,66.48
191.69,64.7
185.01,58.18
70.81,24.6
149.5,59.77
193.59,60.35
184.6,53.73
211.63,64.41
210.44,58.76
196.34,66.55
186.46,64.3
220.32,58.69
223.36,59.77
216.95,56.44
210.88,56.19
223.51,57.01
245.38,67.08
275.56,43.78
280.58,39.54
199.28,65.49
193.84,58.7
180.27,68.98
113.92,50.39
212.18,61.61
182.47,63.54
228.63,52.46
198.25,60.3
218.81,55.01
175.85,60.84
254.11,66.43
231.75,67.85
185.98,59.83
229.34,62.74
234.24,53.73
187.8,71.24
231.19,61.84
185.21,66.25
199.21,62.69
204.3,54.28
215.41,58.91
176.71,52.3
168.3,56.71
191.72,52.13
261.2,50.65
172.51,56.22
189.23,66.77
183.19,56.77
193.19,55.53
191.65,64.56
224.68,53.73
231.06,62.44
190.24,69.09
234.96,54.63
218.94,62.62
206.02,65.25
209.48,56.13
186.75,66.92
186.53,66.7
233.67,70.92
162.19,63.26
183.67,62.18
180.64,60.73
173.21,64.74
200.84,66.2
180.5,57.83
219.21,53.66
188.26,63.03
38.2,86.15
199.81,65.89
183.39,62.7
196.11,61.28
212.22,52.76
192.45,58.79
210.54,64.6
235.5,52.06
202.43,71.23
